City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,veraval,20.9,70.3667,27.04,82,39,2.95,IN,1694743502
231,yakeshi,49.2833,120.7333,12.8,74,100,2.63,CN,1694743502
232,lihue,21.9789,-159.3672,26.87,78,75,6.69,US,1694743502
233,enewetak,11.3474,162.3373,29.09,73,39,4.58,MH,1694743502
234,faya-largeau,17.9257,19.1043,32.33,21,40,7.41,TD,1694743503
235,nova vicosa,-17.8919,-39.3719,23.97,88,0,7.19,BR,1694743380
236,quellon,-43.1167,-73.6167,12.14,94,100,6.17,CL,1694743303
237,tazacorte,28.629,-17.9293,23.54,73,75,7.2,ES,1694743503
238,sao joao da barra,-21.6403,-41.0511,21.68,87,98,8.27,BR,1694743408
239,rodolfo sanchez taboada,31.7167,-116.5667,20.06,74,1,1.79,MX,1694743504
240,pontianak,-0.0333,109.3333,27.99,83,20,1.03,ID,1694743504
241,inari,68.906,27.0288,-0.89,91,22,1.39,FI,1694743392
242,nuuk,64.1835,-51.7216,3.82,81,100,6.71,GL,1694743505
243,uyuni,-20.4597,-66.825,6.6,14,3,3.64,BO,1694743505
244,carnarvon,-24.8667,113.6333,20.78,60,1,4.68,AU,1694743505
245,tamasi,46.6333,18.2833,15.42,86,73,0.78,HU,1694743506
246,sinabang,2.4803,96.3801,27.65,81,100,4.57,ID,1694743507
247,paracale,14.2804,122.7881,29.81,71,94,1.22,PH,1694743507
248,pocatello,42.8713,-112.4455,19.95,35,0,4.02,US,1694743507
249,nizhneangarsk,55.7833,109.55,12.03,56,27,2.25,RU,1694743508
250,colac,-38.3333,143.5833,16.76,53,65,5.1,AU,1694743508
251,vadso,70.0744,29.7487,2.09,87,43,4.12,NO,1694743509
252,francisco sa,-16.4758,-43.4883,29.08,33,89,1.33,BR,1694743509
253,basco,20.4487,121.9702,28.55,73,87,2.5,PH,1694743509
254,banda aceh,5.5577,95.3222,27.37,75,100,0.79,ID,1694743509
255,piacabucu,-10.4056,-36.4344,22.99,87,10,3.01,BR,1694743347
256,bayanaul,50.7889,75.6956,10.11,91,60,2.54,KZ,1694743510
257,kone,-21.0595,164.8658,18.41,93,100,3.49,NC,1694743511
258,nagornyy,52.7959,83.5498,11.52,84,100,1.43,RU,1694743511
259,st. john's,47.5649,-52.7093,17.86,98,100,7.2,CA,1694742780
260,manaquiri,-3.3167,-60.35,31.25,35,11,1.97,BR,1694743511
261,sitka,57.0531,-135.33,11.94,87,100,3.09,US,1694743511
262,la sarre,48.8002,-79.1996,8.52,78,9,2.15,CA,1694743341
263,ketchikan,55.3422,-131.6461,12.26,94,100,7.2,US,1694743512
264,kingston,17.997,-76.7936,30.53,74,75,4.63,JM,1694743097
265,laascaanood,8.4774,47.3597,23.02,69,100,9.19,SO,1694743513
266,new norfolk,-42.7826,147.0587,19.72,46,49,5.17,AU,1694743513
267,mil'kovo,55.6078,37.7956,12.41,65,54,2.16,RU,1694743513
268,priargunsk,50.3691,119.1012,15.3,43,99,5.58,RU,1694743514
269,aykhal,66.0,111.5,8.27,90,100,10.84,RU,1694743514
270,miandrivazo,-19.5167,45.4667,23.39,61,0,1.66,MG,1694743514
271,kuressaare,58.2481,22.5039,9.97,95,12,2.06,EE,1694743515
272,kourou,5.1552,-52.6478,28.03,86,1,3.17,GF,1694743230
273,sciacca,37.5082,13.0881,23.91,73,40,0.53,IT,1694743515
274,dwarka,22.2394,68.9678,28.07,75,92,3.9,IN,1694743515
275,mascote,-15.5631,-39.3025,20.91,97,10,1.5,BR,1694743516
276,chalus,36.655,51.4204,19.7,94,100,1.03,IR,1694743516
277,luganville,-15.5333,167.1667,26.77,76,63,1.29,VU,1694743516
278,ciudad lazaro cardenas,17.9583,-102.2,27.92,84,14,1.27,MX,1694743517
279,kampot,10.6167,104.1833,26.03,86,100,3.89,KH,1694743517
280,sao vicente,-23.9631,-46.3919,19.1,86,100,0.62,BR,1694743517
281,islamkot,24.6997,70.177,28.22,65,98,4.47,PK,1694743518
282,antofagasta,-23.65,-70.4,15.6,73,36,1.55,CL,1694743518
283,kasongo-lunda,-6.4667,16.8167,23.94,65,64,0.34,CD,1694743518
284,blythe,33.6103,-114.5964,36.25,16,0,0.0,US,1694743518
285,san jose,37.3394,-121.895,25.38,68,20,5.81,US,1694743443
286,madang,-5.2246,145.7966,28.97,71,100,2.8,PG,1694743519
287,villa huidobro,-34.8383,-64.5869,15.08,29,49,3.51,AR,1694743519
288,caribou,46.8606,-68.012,13.04,86,0,2.57,US,1694743519
